Model,RMSE,MAE,R²,MAPE,PHM_Score
Linear Regression,35.059986550732646,25.55004200645998,0.7401638813414358,59.00260249143127,2342747.6577392733
Ridge Regression,35.2138137485601,25.71378261795495,0.7378787950814399,62.7013591677135,2261206.6117741438
Lasso Regression,36.21309036410874,26.821892913208924,0.7227910762856129,62.45300502055375,3413756.112032148
Random Forest,10.367854026617538,5.641530938658355,0.9772776221279597,9.109549778910512,20694.695599529183
XGBoost,9.38218312054406,5.251529216766357,0.9813926815986633,7.4098927841537865,31299.39583233269
LightGBM,9.782240214207915,5.841334584309202,0.9797720125091671,8.134838804248362,12053.259755236557
Neural Network,24.48835997000574,15.760491540864182,0.8732361469932389,17.76673872532252,752185.0958919415
Gradient Boosting,10.339075992714376,6.310431536110703,0.977403587990734,8.815722696291871,24692.26994328924
Voting Ensemble,9.225281931722241,5.339786562511079,0.982009827618511,7.5442267317203475,14120.228513609645
Weighted Ensemble,9.209836409450158,5.301935589778773,0.9820700176482389,7.525359038807103,13970.269767197526
